"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
72067,22,"T","D","A","T","D","D","T","D","D","T","D","D","T","D","A","T","D","D","T","D","D","T","D","D,F","T",,
72067,23,"A","T","D","A","T","A","A","T","D","A","T","D","A","T","D","T","A","D","D","T","D","D","T","D","D",,
72067,24,"T","D","A","T","D","A","T","D","A",,"D","A","T","D","A","T","D","A","T",,"A","T","D","D","T",,
72067,25,"T","D","A","T","D","A",,,"A","T","D","A","T","D","A","T","A","A","T","D","A","T","A","A","T",,
72067,26,"A","T","D","D","T","D","D","T","D","D","T","D","D","T","D","A","T","D","D","T","D","D","T","D","D",,
72067,27,"T,F","D","A,F","T","D","A","T",,"A","T",,,"T",,"A","T",,"A","T",,"A","T","A",,"T",,
72067,28,,,"A","T","A","A","T","A","A","T",,"A",,,"A","T",,"A",,,"T",,,"T",,,
72067,29,"D","A","T","D","D","T","D","A","T","D","D","T","D","D","T","D","A","T","D","A","T","D","D","T",,,
72067,30,"D","A","T","D","A","T","D","A","T","D","A","T","D","D","T","D","D","T","D","D","T","A","D","T","D",,
72067,31,"D","D","T","D","A","T","D","D","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D",,
72067,32,"T","D","A","T","D","D","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D","D","T",,
72067,33,,"A","T","A","A","T","D","A","T","D","A","T","D","D","T","D","A",,"T","D","D","T","D","A",,,
72067,34,"T","D","A","T","D","A","T","D","D","T","D","D","T","D","T","D","D","T","D","D","T","D","A","T","D",,
72067,35,"T","D","A","T","D","A","T","A","D","T","D","A","T","D","A","T","A","A","T","A","D","T","D","D","T",,
72067,36,"A","T","D","A","T",,"A","T","D","A","T","D","A","T","D","A","T","D","A","T","D",,"T","A","A",,
72067,37,"T","A","A",,"A","A",,"A","A","T","D",,,"D","D","T","D","D","T","D","A",,"D","D",,,
72067,38,"A","T","D","A",,,,"T","A","A","T",,"A","T",,,"T","A","A",,"A",,,"T",,,
72067,39,"D","A","T","D","A","T","D","A","T","D","A","T","D","D","T","D","A","T","D","A","T","D","D","D","T",,
72067,40,,,"A","T","A","A","T","A","A",,"A","A","T","A",,"T","A","A","T","A","A",,"A",,"T",,
72067,41,,,,,,"T","A",,,"A",,,,"A",,,,,"A",,,,"A",,,,
72067,42,,,"A","T","A",,"T","A","A","T",,"A",,"A","A","T","A","A","T","A",,,,"A",,,
72067,43,"A",,"A",,,,,,,,,,,,,,,,,,,,,,,,
72067,44,"T","D","A","T","D","A","T","D","D","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T",,
72067,45,"T","D","A","T","D","A","T","D","A","T","D","D","T","D","D","T","D","A","T","D",,"T","A","D",,,
